Date,IHE_Open,IHE_High,IHE_Low,IHE_Close,IHE_Volume,IHE_ATRPercentOfClose20,IHE_SQN25,IHE_SQN50,IHE_SQN100,IHE_SQN200,IHE_MACD,IHE_MACD_Avg,IHE_MACD_Diff,IHE_LinReg10,IHE_LinReg30,IHE_LinReg90,IHE_LinReg270
4/27/2017, 152.76, 153.67, 152.51, 153.6, 8910, 1.06443268512268, 0.739796512513587, 0.326425503431083, 0, 0, 0.0684475614350788, -0.224277779135483, 0.292725340570562, 151.743818181819, 150.490279569893, 153.812574074074, 153.812574074074
4/28/2017, 153.04, 153.43, 152.82, 153.27, 6835, 1.03883354481048, 0.649059045985522, 0.00783652415002558, 0, 0, 0.245810297077924, -0.130260163892802, 0.376070460970725, 152.859636363637, 150.936817204301, 153.902429990967, 153.902429990967
5/1/2017, 153.01, 153.77, 152.81, 153.36, 6737, 1.01761161021418, 0.662119255137213, 0.122763781626976, 0, 0, 0.389147935577796, -0.0263785439986822, 0.415526479576478, 153.792000000001, 151.29111827957, 153.992106964443, 153.992106964443
5/2/2017, 153.42, 153.42, 151.51, 152.22, 15411, 1.03670917563608, -0.0185129574057495, -0.0923683129790803, 0, 0, 0.406074598954348, 0.0601120845919238, 0.345962514362424, 153.791454545456, 151.547204301075, 154.023399311532, 154.023399311532
5/3/2017, 151.34, 151.34, 149.18, 149.5, 10177, 1.10446473029805, -0.54545288845645, -0.345500161426154, 0, 0, 0.197728542067523, 0.0876353760870436, 0.110093165980479, 152.732545454546, 151.261505376344, 153.925484593838, 153.925484593838
5/4/2017, 149.8, 150.54, 149.69, 150.32, 10566, 1.07811071926943, -0.417031984848121, -0.189884345696284, 0, 0, 0.0976542406084207, 0.0896391489913191, 0.00801509161710159, 152.043272727274, 151.094838709678, 153.868801641587, 153.868801641587
5/5/2017, 150.59, 150.65, 149.61, 150.65, 7144, 1.05647874646234, -0.174823275289644, -0.249048237218337, 0, 0, 0.0444603663528937, 0.080603392463634, -0.0361430261107403, 151.174181818183, 150.97582795699, 153.828845228548, 153.828845228548
5/8/2017, 149.91, 149.91, 148.07, 148.07, 17204, 1.10826363879803, -0.460150725607961, -0.569156144008359, 0, 0, -0.203534382609149, 0.0237758374490774, -0.227310220058226, 149.626727272728, 150.526021505377, 153.673265412748, 153.673265412748
5/9/2017, 148.77, 149.89, 148.77, 149.84, 8720, 1.10114500231569, -0.0685082141987747, -0.543055945846936, 0, 0, -0.254316201509795, -0.0318425703426971, -0.222473631167098, 148.931090909092, 150.476795698925, 153.602305924413, 153.602305924413
5/10/2017, 148.4, 150.57, 148.4, 150.33, 9214, 1.11485258291514, 0.0320985121125256, -0.299809439149155, 0, 0, -0.252116017440386, -0.0758972597622349, -0.176218757678151, 148.831090909092, 150.521526881721, 153.555198501873, 153.555198501873
5/11/2017, 149.7, 151.9, 149.7, 151.17, 18755, 1.12599060230305, 0.276664264275553, -0.394457573778216, 0, 0, -0.180510562486404, -0.0968199203070687, -0.0836906421793354, 149.346545454547, 150.697612903226, 153.546080586081, 153.546080586081
5/12/2017, 150.92, 152, 150.48, 151.76, 25934, 1.11561148776123, 0.246093702722824, -0.259821937037122, 0, 0, -0.0752867950724863, -0.0925132952601522, 0.017226500187666, 150.132363636365, 150.888881720431, 153.536227106227, 153.562300525561
5/15/2017, 151.47, 152.63, 151.47, 152.1, 24068, 1.09559460495406, -0.0299522727240329, -0.287609820043132, 0, 0, 0.0351339548395515, -0.0669838452402115, 0.102117800079763, 151.136000000001, 151.071032258065, 153.59778998779, 153.591949509116
5/16/2017, 151.6, 151.94, 151.11, 151.49, 10104, 1.07768131522105, -0.0483145425282933, -0.163157979983317, 0, 0, 0.0725845827781768, -0.0390701596365338, 0.111654742414711, 151.769636363638, 151.132301075269, 153.637052503053, 153.594184397163
5/17/2017, 149.79, 150.09, 148.24, 148.38, 19705, 1.15477183798824, -0.410237285943403, -0.388826069409888, 0, 0, -0.146992099979656, -0.0606545477051582, -0.0863375522744975, 150.824727272729, 150.782602150538, 153.526793650794, 153.465603583427
5/18/2017, 148.43, 148.76, 147.49, 148.48, 8172, 1.13906110624097, -0.372450585760566, -0.467247296681488, 0, 0, -0.309372781912657, -0.110398194546658, -0.198974587365999, 150.139454545456, 150.411053763441, 153.452825396825, 153.345381578947
5/19/2017, 148.85, 149.65, 148.26, 148.6, 7144, 1.12800406057824, -0.348057752595909, -0.486847263190494, 0, 0, -0.423495848590505, -0.173017725355427, -0.250478123235078, 149.662000000001, 150.113698924732, 153.368825396825, 153.233969072165
5/22/2017, 148.73, 149.19, 148.3, 148.58, 9208, 1.10169829877393, -0.281349362018448, -0.524572937441916, 0, 0, -0.509677785747357, -0.240349737433813, -0.269328048313544, 148.773454545456, 149.962365591398, 153.211873015873, 153.125293498843
5/23/2017, 148.84, 149.7, 148.57, 149.53, 22409, 1.07774905751514, 0.159269598611926, -0.374714083352953, 0, 0, -0.49560747684464, -0.291401285315979, -0.204206191528661, 148.539272727274, 149.92288172043, 153.098261294261, 153.058237476809
5/24/2017, 149.61, 149.99, 149.07, 149.91, 6437, 1.05195134241696, 0.158921579505856, -0.144492113491693, 0, 0, -0.448622391785847, -0.322845506609952, -0.125776885175894, 148.551272727274, 149.903569892473, 153.01188034188, 153.008260606061
5/25/2017, 150.92, 151, 150.32, 150.98, 15372, 1.02836882007313, 0.235574031333534, -0.326105590263893, 0, 0, -0.321342084212318, -0.322544822130426, 0.0012027379181071, 149.12381818182, 150.018666666667, 152.914422466422, 153.001803960396
5/26/2017, 150.67, 151.4, 150.21, 150.39, 10145, 1.02034688630832, 0.347225085442304, -0.299591090110873, 0.557764287320577, 0, -0.265024554526917, -0.311040768609724, 0.0460162140828067, 149.62090909091, 150.057010752688, 152.799865689866, 152.972184041933
5/30/2017, 150.19, 150.43, 149.13, 149.32, 7387, 1.0198062538194, -0.0912199112667513, -0.248689088050595, 0.26122556278742, 0, -0.303237036345735, -0.309480022156926, 0.00624298581119143, 149.891090909092, 149.932580645162, 152.601706959707, 152.901867504283
5/31/2017, 149.82, 150.76, 149.17, 150.74, 11977, 1.01242932419595, 0.0291809248379516, -0.178891100613874, 0.339314387803241, 0, -0.216443544479063, -0.290872726621353, 0.0744291821422907, 150.681454545456, 149.867182795699, 152.429199023199, 152.887923823749
6/1/2017, 150.48, 152.23, 150.48, 152.23, 8144, 1.00987266972892, -0.0354769803150582, 0.354375932259876, 0.486357937651422, 0, -0.0271159534783294, -0.238121371992749, 0.211005418514419, 151.405454545456, 150.002688172043, 152.293787545788, 152.930604395604
6/2/2017, 152.59, 153.22, 152.48, 152.61, 18572, 0.989425795735477, -0.135614326253438, 0.373049279528904, 0.400239003960617, 0, 0.151840033242792, -0.160129090945641, 0.311969124188432, 152.070727272729, 150.203096774194, 152.138964590965, 152.985827493261
6/5/2017, 152.14, 152.14, 149.75, 150.63, 30206, 1.04724462028037, -0.380703310867256, 0.11371819245248, 0.300081194774776, 0, 0.132368626448852, -0.101629547466742, 0.233998173915594, 151.850727272728, 150.048129032258, 151.907968253968, 152.965260095221
6/6/2017, 150.15, 150.6, 149.73, 150.45, 18130, 1.02598294646188, -0.422151553421499, 0.0899365373778088, 0.551524119826625, 0, 0.10124580202114, -0.0610544775691658, 0.162300279590306, 151.453818181819, 149.968752688173, 151.637174603175, 152.938411214953
6/7/2017, 150.6, 150.99, 150.01, 150.51, 15593, 1.00685122304452, -0.24365712921885, -0.205383680565809, 0.537485086275089, 0, 0.0804943492413486, -0.0327447122070629, 0.113239061448411, 151.165636363638, 149.938881720431, 151.385318681319, 152.914311926605
6/8/2017, 150.8, 152.2, 150.8, 151.61, 8599, 1.00530386321093, 0.376415351030401, -0.096007844732742, 0.569275497075835, 0, 0.151068061744496, 0.0040178425832489, 0.147050219161247, 151.280000000001, 150.176408602151, 151.150652014652, 152.930500417014
6/9/2017, 151.37, 152.68, 151.36, 151.84, 48846, 0.997058830126045, 0.277608118817477, -0.0860840351229342, 0.801552530983577, 0, 0.222986861435061, 0.0478116463536113, 0.175175215081449, 151.595090909092, 150.516774193549, 150.993147741148, 152.954142506143
6/12/2017, 151.74, 152.4, 150.52, 151.16, 8677, 1.01365269997368, 0.105838904603175, -0.041899732897683, 0.691008381960912, 0, 0.22254732431017, 0.0827587819449231, 0.139788542365247, 151.510363636365, 150.760215053764, 150.826505494505, 152.952588481338
6/13/2017, 151.12, 151.14, 150.05, 150.92, 7836, 1.00127587477883, 0.56035874961229, 0.0243567943600074, 0.796918157971798, 0, 0.200521506627581, 0.106311326881455, 0.0942101797461263, 151.086727272729, 150.992817204302, 150.675601953602, 152.9423482933
