Date,IGV_Open,IGV_High,IGV_Low,IGV_Close,IGV_Volume,IGV_ATRPercentOfClose20,IGV_SQN25,IGV_SQN50,IGV_SQN100,IGV_SQN200,IGV_MACD,IGV_MACD_Avg,IGV_MACD_Diff,IGV_LinReg10,IGV_LinReg30,IGV_LinReg90,IGV_LinReg270
8/17/2017, 142.19, 143.07, 140.24, 140.36, 160181, 1.28849585968693, -0.0488622724413651, -0.0055280055208417, 1.3146443556476, 0, 0.140173482076307, 0.321901279548576, -0.18172779747227, 140.858909090906, 141.583720430108, 144.213474969475, 145.565457368044
8/18/2017, 140.08, 141.26, 139.71, 140.3, 81205, 1.27983332090074, -0.174181487263892, -0.00648839009940163, 1.24862378862269, 0, 0.0695892626528405, 0.271438876169429, -0.201849613516589, 140.893818181815, 141.171720430108, 144.122075702076, 145.62670754717
8/21/2017, 140.91, 141.3, 140.1, 141.12, 143773, 1.25129382211065, -0.0450721821079155, 0.544919668829876, 1.25900194578641, 0, 0.0789083014218761, 0.232932761219919, -0.154024459798042, 141.278727272724, 140.895569892474, 144.042390720391, 145.706336180124
8/22/2017, 142.32, 143.78, 141.99, 143.56, 112648, 1.26116923214992, 0.244570969231137, 0.861407761319571, 1.4340337580405, 0, 0.279954177364317, 0.242337044448798, 0.0376171329155188, 142.365999999996, 140.930365591398, 144.049511599512, 145.843712905452
8/23/2017, 143.12, 143.78, 142.69, 142.92, 100043, 1.24160916749979, -0.0410204541782436, 0.668287252306673, 1.37511172356319, 0, 0.383224260483161, 0.270514487655671, 0.11270977282749, 143.021818181814, 141.043505376345, 144.038295482296, 145.961898810876
8/24/2017, 143.63, 143.63, 142.28, 143.19, 45782, 1.2244447454998, -0.0109798118553916, 0.762775617766317, 1.45025163349036, 0, 0.481305103263082, 0.312672610777153, 0.168632492485929, 143.076181818178, 141.140494623657, 144.037750915751, 146.083548556038
8/25/2017, 144.32, 144.68, 143.29, 143.53, 31866, 1.21237254199618, 0.12535092322116, 0.846092738188744, 1.49496931628986, 0, 0.579786617084807, 0.366095412038684, 0.213691205046123, 143.231818181814, 141.312537634409, 144.046217338218, 146.210261640798
8/28/2017, 144.07, 144.07, 142.86, 143.72, 76099, 1.19232702063092, 0.0427571942191349, 0.849237467363649, 1.51310887253421, 0, 0.665493938545296, 0.425975117340006, 0.23951882120529, 143.65836363636, 141.497655913979, 144.068205128206, 146.338299379335
8/29/2017, 142.29, 144.38, 142.15, 143.98, 138600, 1.20810652475914, -0.0160017492071336, 0.668807742550536, 1.50262631324795, 0, 0.745800313609294, 0.489940156593864, 0.25586015701543, 144.059818181814, 141.737032258065, 144.09253968254, 146.469299473342
8/30/2017, 144.04, 146.21, 143.85, 146.02, 73644, 1.21247786990194, 0.148961184092283, 0.958543393833042, 1.63972303748662, 0, 0.962954307592668, 0.584542986793625, 0.378411320799043, 145.321272727269, 142.308258064517, 144.229147741148, 146.645438408896
8/31/2017, 147.1, 147.59, 146.12, 147.31, 68786, 1.19505612405761, 0.717566699761237, 0.889658873166583, 1.73527752870316, 0, 1.22502134780646, 0.712638658996192, 0.512382688810269, 146.353090909087, 143.030602150538, 144.41778998779, 146.847818399549
9/1/2017, 147.9, 147.9, 146.69, 147.22, 551295, 1.17709232273591, 0.727614501620948, 0.720388268846665, 1.70772390017153, 0, 1.40920468304171, 0.851951863805295, 0.557252819236412, 146.962727272723, 143.678430107527, 144.583677655678, 147.043371388792
9/5/2017, 147.13, 147.23, 145.39, 146.72, 86360, 1.18475296595911, 0.721909433638607, 0.599606056707561, 1.72579318594302, 0, 1.49756251340503, 0.981073993725242, 0.516488519679787, 147.186181818178, 144.283956989248, 144.73897924298, 147.222714138287
9/6/2017, 146.72, 147.27, 145.74, 146.06, 180434, 1.18297690953885, 0.544434498840281, 0.606757598678302, 1.70838569211903, 0, 1.49707292165658, 1.08427377931151, 0.412799142345071, 147.364181818178, 144.828881720431, 144.854087912088, 147.382560179518
9/7/2017, 146.18, 148.03, 146.18, 147.61, 233995, 1.17875704245568, 1.09087354141516, 1.07910046910877, 1.7295444094273, 0, 1.60327540194876, 1.18807410383896, 0.415201298109803, 147.813272727269, 145.619397849463, 145.046771672772, 147.57436617825
9/8/2017, 147.56, 148.23, 147.18, 147.33, 129984, 1.15758169201818, 0.91409334533704, 0.899722610630549, 1.66603367470016, 0, 1.64587534631502, 1.27963435233417, 0.36624099398085, 147.963818181814, 146.198516129033, 145.217264957265, 147.755359776759
9/11/2017, 148.19, 149.37, 148.19, 149.2, 213543, 1.15428408278007, 1.18102179189113, 1.44002712131509, 1.76610673810524, 0, 1.80966874607415, 1.38564123108217, 0.424027514991983, 148.602545454541, 146.97535483871, 145.453367521368, 147.974820361248
9/12/2017, 149.79, 149.79, 147.95, 149.03, 166864, 1.15955328385726, 1.15586253115831, 1.41336333502391, 1.68974211756407, 0, 1.90381264906407, 1.48927551467855, 0.414537134385517, 148.911272727269, 147.658043010753, 145.685938949939, 148.185534415584
9/13/2017, 149.25, 149.25, 148.28, 148.47, 52972, 1.13839708088223, 1.20885768584239, 1.62618750641285, 1.63705968870828, 0, 1.9112038819016, 1.57366118812316, 0.337542693778441, 148.788909090905, 148.257290322581, 145.905501831502, 148.378934899846
9/14/2017, 148.7, 148.7, 147.16, 148.18, 66936, 1.13555759123131, 1.20975222448321, 1.41020825891503, 1.49449063117865, 0, 1.87208072948769, 1.63334509639607, 0.238735633091627, 148.72945454545, 148.66006451613, 146.095941391942, 148.561508918936
9/15/2017, 147.08, 147.35, 146.23, 146.94, 120362, 1.15423695164845, 1.62646709591515, 1.39477519162946, 1.36866404232469, 0, 1.72117705475327, 1.65091148806751, 0.0702655666857632, 148.381818181814, 148.913892473119, 146.221545787546, 148.712358922855
9/18/2017, 147, 147.72, 146.92, 147.2, 68145, 1.12176222005069, 1.44204193558521, 1.20513112268358, 1.4105786981036, 0, 1.60407386737154, 1.64154396392831, -0.0374700965567734, 148.126181818178, 149.1611827957, 146.386361416362, 148.865517690875
9/19/2017, 147.15, 147.71, 146.98, 147.42, 962916, 1.08884295788827, 1.15012718964348, 1.13981780020725, 1.34067316245728, 0, 1.51159616936741, 1.61555440501613, -0.103958235648724, 147.847636363632, 149.399333333334, 146.533924297925, 149.020047268263
9/20/2017, 147.09, 147.15, 145.53, 146.65, 204674, 1.10427117224203, 0.979423119924901, 1.00618427809491, 1.28022982167318, 0, 1.36049146387279, 1.56454181678746, -0.204050352914673, 147.132909090905, 149.447247311829, 146.640212454213, 149.15421650173
9/21/2017, 146.19, 146.58, 145.23, 145.64, 70115, 1.10508307497137, 0.526681407286071, 0.560024457241913, 1.12748646125839, 0, 1.14603060955227, 1.48083957534043, -0.334808965788155, 146.347090909086, 149.310150537635, 146.726705738706, 149.263294901819
9/22/2017, 145.21, 146.44, 145.21, 146.18, 83588, 1.0880221924127, 1.25882681192872, 0.706704996124724, 1.16006376008556, 0, 1.00802246887889, 1.38627615404812, -0.378253685169227, 145.799272727268, 149.02141935484, 146.841670329671, 149.381500356379
9/25/2017, 146.11, 146.11, 142.8, 143.55, 150912, 1.17028721617934, 0.622720332786123, 0.275499559336504, 0.966264084549782, 0, 0.678608427395432, 1.24474260871758, -0.56613418132215, 144.779636363632, 148.439290322581, 146.742547008547, 149.440258519389
9/26/2017, 144.76, 144.76, 142.95, 143.47, 167985, 1.17547217807497, 0.457742837511445, 0.262229134625336, 0.901162979917351, 0, 0.406405307402451, 1.07707514845456, -0.670669841052104, 144.006545454541, 147.967505376345, 146.637257631258, 149.495698343505
9/27/2017, 143.74, 145.74, 143.74, 145.07, 75610, 1.18262041579235, 0.313807772466656, 0.3838101369749, 0.93043379504649, 0, 0.31614468282217, 0.924889055328078, -0.608744372505908, 143.97745454545, 147.690193548388, 146.627487179488, 149.583741590478
9/28/2017, 145.01, 145.21, 144.37, 145.09, 41809, 1.15228207686985, 0.448326827894856, 0.235982768362742, 0.95098258732794, 0, 0.243420322449367, 0.788595308752336, -0.545174986302969, 144.082727272723, 147.490408602151, 146.652556776557, 149.670084196154
