Date,MDY_Open,MDY_High,MDY_Low,MDY_Close,MDY_Volume,MDY_ATRPercentOfClose20,MDY_SQN25,MDY_SQN50,MDY_SQN100,MDY_SQN200,MDY_MACD,MDY_MACD_Avg,MDY_MACD_Diff,MDY_LinReg10,MDY_LinReg30,MDY_LinReg90,MDY_LinReg270
11/3/2017, 332.64, 334.04, 332.3, 333.86, 879348, 0.677945774739009, 1.20624008470714, 2.48722624966843, 0.728675253774939, 0.770940386354321, 2.21059131121893, 2.53672009362018, -0.326128782401248, 333.523454545436, 334.718430107529, 329.649233211233, 326.258467377473
11/6/2017, 333.93, 335.71, 333.93, 335.19, 595774, 0.669089255457045, 1.03304782018752, 2.46715007016713, 0.886575438956294, 0.823257099134335, 2.25888497938752, 2.48115307077365, -0.222268091386132, 334.158363636345, 334.774215053766, 330.147711843712, 326.515883503586
11/7/2017, 335.19, 335.58, 331.88, 333.08, 513632, 0.695203633240707, 0.49747627090074, 2.20458564806232, 0.797664172310814, 0.658968257752837, 2.10266053160632, 2.40545456294018, -0.302794031333864, 334.143454545436, 334.494860215056, 330.545599511599, 326.729934108527
11/8/2017, 332.5, 334.19, 331.82, 333.9, 762108, 0.694311185540054, 0.657942989350848, 2.32039592196616, 0.737521222818416, 0.61255799620435, 2.02171362201591, 2.32870637475533, -0.306992752739419, 334.003999999982, 334.450817204303, 331.021782661782, 326.95539938556
11/9/2017, 331.95, 333.58, 329.96, 332.25, 917261, 0.72216397173584, 0.218290344096619, 1.94356208753204, 0.861287631547235, 0.598917830508953, 1.80363027550476, 2.22369115490521, -0.420060879400456, 333.426181818163, 334.189548387099, 331.388354090354, 327.14682534985
11/10/2017, 331.92, 332.76, 331.44, 332.22, 650366, 0.705984078709202, 0.263981949364297, 1.72252117862989, 0.97138497342906, 0.641947433445916, 1.60981990116687, 2.10091690415755, -0.491097002990674, 333.201636363618, 333.908559139787, 331.657101343101, 327.334430061581
11/13/2017, 331.23, 332.97, 330.34, 332.86, 510499, 0.708901427318791, 0.519020967220799, 1.66481098597858, 0.981492664315037, 0.731976044470967, 1.49068277140162, 1.97887007760636, -0.488187306204739, 332.82890909089, 333.862107526884, 332.010476190476, 327.530444167704
11/14/2017, 331.55, 332.76, 331.47, 332.41, 795038, 0.695275962343088, 0.291804047673169, 2.15904718027442, 0.881800507448676, 0.693367667052833, 1.34445644156961, 1.85198735039901, -0.507530908829406, 332.599636363618, 333.790946236561, 332.317538461538, 327.715011517894
11/15/2017, 330.67, 332.02, 328.57, 330.87, 922787, 0.721615282468471, 0.011349062170304, 1.90694061699172, 0.723615122159901, 0.678448507718824, 1.09172120946113, 1.69993412221143, -0.608212912750307, 331.728363636345, 333.495763440862, 332.558229548229, 327.868767274061
11/16/2017, 332.03, 335.12, 331.91, 334.16, 1244436, 0.74237732249469, 0.453468340151327, 2.29810623260642, 1.05344347235726, 0.746302643936949, 1.14371815057882, 1.58869092788491, -0.444972777306091, 332.151636363617, 333.682709677422, 332.977645909645, 328.07877307801
