Date,IXG_Open,IXG_High,IXG_Low,IXG_Close,IXG_Volume,IXG_ATRPercentOfClose20,IXG_SQN25,IXG_SQN50,IXG_SQN100,IXG_SQN200,IXG_MACD,IXG_MACD_Avg,IXG_MACD_Diff,IXG_LinReg10,IXG_LinReg30,IXG_LinReg90,IXG_LinReg270
7/13/2017, 64.31, 64.65, 64.21, 64.54, 60619, 0.853068647956765, 1.19006550244957, 0.959276873495319, 0.720502508113611, 0, 0.613544238155633, 0.481937754603129, 0.131606483552504, 64.4089090909116, 63.9651612903226, 63.02105006105, 63.0111839299741
7/14/2017, 64.21, 64.65, 64.21, 64.55, 74526, 0.844371774007331, 1.00142434869373, 0.896958271350726, 0.690898070485643, 0, 0.637983109208626, 0.513146825524228, 0.124836283684398, 64.5098181818208, 64.1157419354839, 63.1407887667887, 63.0851044776119
7/17/2017, 64.52, 64.57, 64.36, 64.37, 27236, 0.820708219847204, 0.731097908456956, 0.760707307051494, 0.647713885793911, 0, 0.635500935712145, 0.537617647561812, 0.0978832881503331, 64.4669090909117, 64.2309892473119, 63.250271062271, 63.1517440087145
7/18/2017, 64.18, 64.37, 64.04, 64.36, 38653, 0.805430992945716, 0.766929305851597, 0.656850432377587, 0.647811295759717, 0, 0.625516316183997, 0.555197381286249, 0.0703189348977487, 64.4985454545481, 64.3222795698925, 63.3623931623931, 63.2162848862171
7/19/2017, 64.49, 64.61, 64.45, 64.58, 21877, 0.781908667864462, 0.627273558970765, 0.845301251278343, 0.845084043388553, 0, 0.628115075058716, 0.569780920040742, 0.0583341550179737, 64.6180000000027, 64.4083440860215, 63.488503052503, 63.2854363694064
7/20/2017, 64.68, 64.79, 64.57, 64.75, 18727, 0.757851408218574, 0.69937425119056, 0.976834905874352, 0.868537080018918, 0, 0.636554386712021, 0.583135613374998, 0.0534187733370229, 64.6983636363664, 64.519935483871, 63.6209108669108, 63.3576144301948
7/21/2017, 64.47, 64.58, 64.32, 64.46, 13088, 0.756551888737901, 0.772753511283708, 0.799715560547151, 0.82765393856367, 0, 0.612778298842528, 0.589064150468504, 0.0237141483740241, 64.6623636363664, 64.607311827957, 63.7331916971916, 63.4196248715312
7/24/2017, 64.46, 64.79, 64.46, 64.63, 43736, 0.742363732177671, 0.783747368650219, 0.938048588043311, 0.597062180877161, 0, 0.600728334855418, 0.591396987345887, 0.00933134750953135, 64.6876363636391, 64.7331397849463, 63.859934065934, 63.4847933130698
7/25/2017, 65.33, 65.56, 65.25, 65.35, 29732, 0.768630751493661, 0.840544399087221, 1.16529627492383, 0.910484758335705, 0, 0.641877470365742, 0.601493083949858, 0.040384386415884, 64.9076363636392, 64.9318064516129, 64.0226886446885, 63.5684566976324
7/26/2017, 65.46, 65.52, 65.24, 65.31, 31986, 0.752082661607797, 2.09384434984106, 0.98335115413983, 0.790467575661258, 0, 0.663611095391033, 0.613916686238093, 0.0496944091529402, 65.0800000000028, 65.1456559139785, 64.1710305250304, 63.6488486161724
7/27/2017, 65.42, 65.42, 64.79, 64.94, 43161, 0.767055631323144, 2.05344910451372, 0.824544183440813, 0.792780233584178, 0, 0.643560675164217, 0.619845484023318, 0.023715191140899, 65.1363636363665, 65.2987526881721, 64.297553113553, 63.7169347319346
