Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
3/24/2017, 51.73, 52.08, 51.6, 51.89, 12407130, 1.11720596159466, 1.18328851319063, 1.27335924448982, 0, 0, 0.455363132212831, 0.469817904008291, -0.0144547717954601, 51.7814545454541, 51.9859354838711, 51.8146944948578, 51.8146944948578
3/27/2017, 52.1, 52.21, 51.49, 51.69, 11821399, 1.13509821009459, 1.06129829144546, 1.18059108207775, 0, 0, 0.442039143892963, 0.464262151985225, -0.0222230080922627, 51.7936363636359, 51.9850322580647, 51.8729514903565, 51.8729514903565
3/28/2017, 51.68, 51.74, 51.42, 51.65, 8477840, 1.1101561501607, 0.800481832761248, 1.1936418292887, 0, 0, 0.423371755392864, 0.456084072666753, -0.0327123172738891, 51.7503636363632, 51.9795698924733, 51.9246101694916, 51.9246101694916
3/29/2017, 51.63, 51.68, 51.29, 51.51, 6955498, 1.09537151811318, 0.623772450584738, 0.953525346124429, 0, 0, 0.392753468045008, 0.443417951742404, -0.0506644836973963, 51.790545454545, 51.9186666666668, 51.9636557377049, 51.9636557377049
3/30/2017, 51.43, 51.43, 50.97, 51.11, 19711220, 1.10157420373918, 0.165184427698168, 0.819858839748313, 0, 0, 0.332380126469964, 0.421210386687916, -0.0888302602179523, 51.5987272727267, 51.7839139784948, 51.974368059228, 51.974368059228
3/31/2017, 51.17, 51.56, 51.13, 51.31, 9991039, 1.08626748539182, -0.132145456310621, 1.0725787293184, 0, 0, 0.297245683623757, 0.396417446075084, -0.0991717624513275, 51.4709090909085, 51.6939139784948, 51.996559139785, 51.996559139785
4/3/2017, 51.31, 51.31, 50.83, 51.3, 15475829, 1.07893889749866, 0.0178725678409199, 1.03362237225654, 0, 0, 0.265533562492124, 0.370240669358492, -0.104707106866369, 51.2692727272722, 51.5932258064518, 52.0164136904762, 52.0164136904762
4/4/2017, 51.25, 51.65, 51.15, 51.46, 10134305, 1.07038645879513, -0.155585056577353, 1.19752058571546, 0, 0, 0.250425392802192, 0.346277614047232, -0.0958522212450398, 51.2430909090904, 51.5363440860217, 52.0444807692308, 52.0444807692308
4/5/2017, 51.4, 51.8, 51.29, 51.75, 12649545, 1.06044411229212, 0.26809330829043, 1.30484242205664, 0, 0, 0.25886856022116, 0.328795803282018, -0.069927243060858, 51.3752727272722, 51.5214193548389, 52.088027972028, 52.088027972028
4/6/2017, 51.69, 51.71, 51.42, 51.62, 9388774, 1.04192335665559, -0.0181349260779286, 1.25422610582445, 0, 0, 0.252163137997044, 0.313469270225023, -0.0613061322279788, 51.4365454545449, 51.5153118279572, 52.1211397557666, 52.1211397557666
4/7/2017, 51.82, 51.89, 51.36, 51.4, 19917957, 1.04562022348314, -0.0528627536835042, 1.15952186475064, 0, 0, 0.226486090522336, 0.296072634284486, -0.0695865437621499, 51.4641818181812, 51.5274623655916, 52.1392537313433, 52.1392537313433
4/10/2017, 51.43, 51.55, 51.14, 51.49, 8484887, 1.03141649859549, 0.0573389958827501, 1.19677805724376, 0, 0, 0.210967194745599, 0.279051546376708, -0.0680843516311092, 51.5096363636358, 51.532924731183, 52.161189258312, 52.161189258312
4/11/2017, 51.52, 51.57, 51.13, 51.47, 9844223, 1.02296976368851, 0.0631668531227317, 1.17336745745382, 0, 0, 0.194808889567291, 0.262203015014825, -0.067394125447534, 51.5510909090903, 51.5659569892475, 52.1804679089027, 52.1804679089027
