Date,FXS_Open,FXS_High,FXS_Low,FXS_Close,FXS_Volume,FXS_ATRPercentOfClose20,FXS_SQN25,FXS_SQN50,FXS_SQN100,FXS_SQN200,FXS_MACD,FXS_MACD_Avg,FXS_MACD_Diff,FXS_LinReg10,FXS_LinReg30,FXS_LinReg90,FXS_LinReg270
10/5/2017, 117.72, 117.72, 117.4, 117.4, 469, 0.535179481687211, -0.98133294655943, 0.397063065701862, 1.4003985265437, 0, -0.368866363072456, -0.0900955649438408, -0.278770798128615, 116.93818181818, 117.912451612903, 121.276705738706, 119.017937014152
10/6/2017, 118, 118, 118, 118, 128, 0.5312590473947, -0.950863974486912, 0.326213645060998, 1.50075146198569, 0, -0.345351932023704, -0.141146838359813, -0.20420509366389, 117.467818181816, 117.690129032258, 121.274620268621, 119.074289655173
10/9/2017, 117.6, 117.6, 117.52, 117.52, 1103, 0.527179537210227, -0.812640494051994, 0.278180462599088, 1.3608649979731, 0, -0.36128390847243, -0.185174252382337, -0.176109656090093, 117.652363636361, 117.468430107527, 121.252000000001, 119.118417532468
10/10/2017, 118.4, 118.47, 118.28, 118.45, 3167, 0.536989719310246, -0.609252394866109, 0.368929612962866, 1.54687660936826, 0, -0.295460996476734, -0.207231601201216, -0.0882293952755181, 118.018727272725, 117.377290322581, 121.256805860806, 119.182405624037
10/11/2017, 118.75, 118.75, 118.75, 118.75, 301, 0.521483036965758, -0.361841336469146, 0.439102804703435, 1.75495188920576, 0, -0.216591638115673, -0.209103608584108, -0.00748802953156574, 118.368363636361, 117.399096774194, 121.281658119659, 119.25163587888
10/12/2017, 118.12, 118.12, 117.51, 117.51, 1061, 0.553398052146196, -0.789725544527269, 0.114482992504397, 1.59159991864798, 0, -0.251248503922653, -0.217532587651817, -0.0337159162708365, 118.283090909089, 117.290752688172, 121.242112332113, 119.291660284979
10/13/2017, 118, 118.08, 117.46, 117.61, 42189, 0.551639442669114, -0.782568121645887, 0.223026410691573, 1.53560626316792, 0, -0.267560880222447, -0.227538246165943, -0.0400226340565045, 118.109090909089, 117.249419354839, 121.20505982906, 119.332903165736
10/17/2017, 117.26, 117.26, 116.98, 117.04, 619, 0.553523574074665, -1.01782959021426, -0.248789040329092, 1.32718501691345, 0, -0.322762190654217, -0.246583035063598, -0.0761791555906191, 117.697454545452, 117.090258064516, 121.123020757021, 119.360569674647
10/19/2017, 117.35, 117.48, 117.21, 117.31, 1274, 0.543390837560428, -0.968244444676162, -0.306210037735103, 1.27331445689476, 0, -0.340794417452287, -0.265425311541336, -0.0753691059109512, 117.46927272727, 117.013075268817, 121.0532991453, 119.393406593407
10/20/2017, 116.9, 117.1, 116.84, 116.97, 688, 0.53781243221769, -0.802698750310574, -0.252087192110976, 1.12098956690298, 0, -0.378161040528241, -0.287972457338717, -0.0901885831895241, 117.250727272725, 116.88223655914, 120.971216117217, 119.417991352909
10/23/2017, 116.4, 116.51, 116.3, 116.51, 2072, 0.541691907876388, -0.785598016220602, -0.411661320389179, 1.26798746360327, 0, -0.439822513986286, -0.318342468668231, -0.121480045318055, 116.803636363634, 116.725806451613, 120.880024420025, 119.431925041578
10/24/2017, 116.34, 116.34, 116.08, 116.08, 589, 0.535035303043971, -0.992390040661707, -0.490746644082843, 0.980080741783237, 0, -0.517422557134481, -0.358158486361481, -0.159264070773, 116.376545454543, 116.543247311828, 120.75432967033, 119.436114571093
10/25/2017, 116.18, 116.18, 116.1, 116.15, 1068, 0.512281989483228, -1.36831912217566, -0.467656053199311, 0.945583888295942, 0, -0.566739712796078, -0.3998747316484, -0.166864981147678, 115.982363636361, 116.409290322581, 120.624573870574, 119.44152048823
10/26/2017, 115.53, 115.53, 114.56, 114.56, 1097, 0.562818395814884, -1.6661309560664, -0.56192414148834, 0.724007349479034, 0, -0.725757544578855, -0.465051294234491, -0.260706250344364, 115.299636363634, 116.109483870968, 120.416700854701, 119.412702547295
10/27/2017, 114, 114.13, 113.74, 114.13, 1968, 0.572615891118247, -1.77284672090711, -0.632593161617506, 0.558215845975961, 0, -0.8763754179747, -0.547316118982533, -0.329059298992167, 114.740545454543, 115.728107526882, 120.18064957265, 119.375095574013
10/31/2017, 113.89, 113.98, 113.89, 113.98, 290, 0.555229154857512, -1.84576720832344, -0.845590131375155, 0.567441493226163, 0, -0.996359502054375, -0.637124795596901, -0.359234706457474, 114.133636363634, 115.327139784946, 119.934317460318, 119.334821006417
11/1/2017, 113.86, 113.86, 113.66, 113.66, 894, 0.543029809230392, -2.06839995245402, -0.911195449894373, 0.491361267892599, 0, -1.10453666762044, -0.730607170001608, -0.373929497618828, 113.628727272725, 114.931892473118, 119.662798534799, 119.288374825954
11/2/2017, 113.71, 113.73, 113.71, 113.73, 294, 0.518638263530028, -1.70909118296003, -1.13070664761951, 0.620492851147789, 0, -1.17111949913095, -0.818709635827477, -0.352409863303475, 113.249454545452, 114.646602150538, 119.410874236875, 119.244050702673
11/3/2017, 113.77, 113.77, 113.77, 113.77, 2389, 0.494291054106588, -1.40258393598437, -0.971506042503278, 0.585188729103502, 0, -1.20674856086561, -0.896317420835103, -0.310431140030503, 113.118545454543, 114.394666666667, 119.164708180709, 119.201178010471
11/6/2017, 113.27, 113.7, 113.27, 113.7, 2852, 0.491853285527011, -1.29130811214063, -1.00731878493148, 0.517007547902477, 0, -1.22649499315497, -0.962352935299077, -0.264142057855895, 113.088545454543, 114.167913978495, 118.886556776557, 119.15745142487
11/7/2017, 113.43, 113.59, 113.21, 113.59, 940, 0.489281914219563, -1.48464159499042, -1.23536488532235, 0.383503170196523, 0, -1.23676362251953, -1.01723507274317, -0.219528549776364, 113.106909090907, 113.971139784946, 118.614058608059, 119.112070402222
11/8/2017, 113.86, 113.86, 113.86, 113.86, 339, 0.475572246657212, -1.15200234881338, -0.988727132302722, 0.520949284383752, 0, -1.20917621108127, -1.05562330041079, -0.153552910670482, 113.291818181816, 113.869655913979, 118.338344322345, 119.072850118953
11/9/2017, 113.86, 113.97, 113.77, 113.97, 1213, 0.460131817181457, -1.0926470495638, -1.21386250505798, 0.564833247848521, 0, -1.16500742763444, -1.07750012585552, -0.0875073017789172, 113.649818181816, 113.722688172043, 118.053582417583, 119.036394557823
11/10/2017, 113.88, 114.07, 113.88, 114.07, 273, 0.445070237958816, -1.25163569639296, -1.20002132131459, 0.617580331828141, 0, -1.10914860951927, -1.08382982258827, -0.0253187869309985, 113.84327272727, 113.550516129032, 117.780673992675, 119.002440174039
11/13/2017, 113.66, 113.67, 113.6, 113.67, 470, 0.44497848105713, -1.68487009777475, -1.62324912831598, 0.600287268408042, 0, -1.08465353994733, -1.08399456606008, -0.000658973887246006, 113.83927272727, 113.324408602151, 117.484715506716, 118.960856791263
11/15/2017, 113.1, 113.17, 113.1, 113.17, 1172, 0.44978058447182, -1.65061256730759, -1.82617600601896, 0.522276874051236, 0, -1.09298756190724, -1.08579316522951, -0.00719439667772548, 113.657636363634, 113.082344086022, 117.175770451771, 118.90981371504
11/20/2017, 112.82, 112.82, 112.58, 112.58, 418, 0.455734458229189, -2.19480304582479, -2.13476421360229, 0.48775571279482, 0, -1.13412689464613, -1.09545991111283, -0.0386669835332951, 113.252363636361, 112.750451612903, 116.837326007327, 118.847730150754
