Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
5/15/2017, 42.2, 42.57, 42, 42.07, 5115454, 1.58266097728288, 0.272842293935464, -0.164627011506188, 0, 0, 0.113254075930683, 0.244142134253759, -0.130888058323076, 42.6923636363639, 43.5150967741933, 42.1630256410257, 42.1143057503506
5/16/2017, 41.98, 42.07, 41.51, 41.74, 4402086, 1.58249688424955, -0.138774925744786, -0.150966587338687, 0, 0, 0.0118541738182714, 0.197684542166662, -0.18583036834839, 42.2781818181821, 43.3416344086019, 42.1408351648352, 42.0822191718142
5/17/2017, 41.55, 41.62, 40.88, 40.88, 4927902, 1.64018466123159, -0.666349704850437, -0.290364332150547, 0, 0, -0.136329272837536, 0.130881779165822, -0.267211052003358, 41.5945454545457, 43.0328172043008, 42.075833943834, 42.0153818589026
5/18/2017, 41.06, 41.29, 40.82, 40.97, 5285754, 1.61211158173273, -0.439102418874172, -0.397557173303423, 0, 0, -0.243694317677978, 0.0559665597970622, -0.29966087747504, 41.0087272727275, 42.7109462365588, 42.0192844932845, 41.9547960526316
5/19/2017, 40.97, 41.12, 40.59, 40.96, 5771667, 1.59657717110377, -0.278763322771965, -0.238276154930815, 0, 0, -0.325832807878577, -0.0203933137380656, -0.305439494140511, 40.6416363636366, 42.4421720430104, 41.9757191697192, 41.8960738831615
5/22/2017, 40.96, 41.4, 40.94, 41.31, 2347465, 1.55957421646066, -0.285274682692745, -0.222997966031028, 0, 0, -0.358552903530004, -0.0880252316964533, -0.270527671833551, 40.5020000000003, 42.2129247311825, 41.9436996336997, 41.853751314959
5/23/2017, 41.29, 41.48, 40.55, 40.55, 4510751, 1.62403724631049, -0.662621639638797, -0.374338421519018, 0, 0, -0.440729013757995, -0.158565988108762, -0.282163025649233, 40.3121818181821, 41.9285376344083, 41.8786886446887, 41.7824675324676
5/24/2017, 40.45, 40.63, 40.14, 40.4, 5928884, 1.6092072975494, -0.838627202788354, -0.430654080568395, 0, 0, -0.512055265204332, -0.229263843527876, -0.282791421676456, 40.309272727273, 41.6611827956986, 41.8105152625153, 41.7078020202021
5/25/2017, 40.9, 41.22, 40.76, 40.81, 5359864, 1.61385386130718, -1.03477587837689, -0.419257560647379, 0, 0, -0.529395715594426, -0.289290217941186, -0.24010549765324, 40.4118181818185, 41.4287311827953, 41.7706862026862, 41.6519762376238
5/26/2017, 40.87, 41.08, 40.51, 40.82, 1822080, 1.6026042938743, -0.892676783910733, -0.455921941608222, -0.670547007446744, 0, -0.536150818143994, -0.338662337981747, -0.197488480162247, 40.4763636363639, 41.1794838709674, 41.7330061050061, 41.5985556202679
