Date,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAUUSD_ATRPercentOfClose20,XAUUSD_SQN25,XAUUSD_SQN50,XAUUSD_SQN100,XAUUSD_SQN200,XAUUSD_MACD,XAUUSD_MACD_Avg,XAUUSD_MACD_Diff,XAUUSD_LinReg10,XAUUSD_LinReg30,XAUUSD_LinReg90,XAUUSD_LinReg270
9/13/2017, 1331.73, 1334.57, 1321.02, 1323.01, 575700000, 0.987474835975556, 1.0827933204779, 1.80537839406769, 0.686069809006234, 0, 16.5117116225745, 17.1575437879334, -0.645832165358897, 1334.98381818182, 1341.98135483874, 1301.85224175824, 1294.16438643383
9/14/2017, 1323.135, 1330.075, 1316.95, 1329.705, 555400000, 0.982730852788264, 1.02972594088184, 1.96735307846765, 0.820778711780009, 0, 15.6179384695977, 16.8496227242662, -1.23168425466855, 1331.43954545455, 1343.58091397853, 1303.66196459097, 1295.41753172738
9/15/2017, 1329.555, 1334.26, 1319.8, 1319.94, 558800000, 0.995276317239025, 0.711747161724819, 2.05640711487408, 0.655517403811545, 0, 13.9607322845636, 16.2718446363257, -2.31111235176209, 1324.80300000001, 1342.90655913982, 1305.04254334554, 1296.43636094158
9/18/2017, 1319.98, 1319.98, 1304.685, 1307.41, 562300000, 1.01306764600826, 0.596538267806164, 1.74009662174422, 0.645029969376103, 0, 11.5037105466074, 15.318217818382, -3.81450727177464, 1315.83154545455, 1340.17092473121, 1305.85428205128, 1297.16750618136
9/19/2017, 1307.475, 1311.57, 1305.445, 1311.2, 571800000, 0.982988889959024, 0.933287680122462, 1.74534319657974, 0.689092006274498, 0, 9.74993328129563, 14.2045609109648, -4.45462762966914, 1310.79663636364, 1337.79744086025, 1306.91947985348, 1297.96414210945
9/20/2017, 1311.105, 1315.75, 1296.22, 1300.85, 549000000, 1.01633568888693, 0.426925739083204, 1.47983635232152, 0.801633576029833, 0, 7.43913988788836, 12.8514767063495, -5.41233681846112, 1302.591, 1334.88746236562, 1308.01514407815, 1298.52624282337
9/21/2017, 1300.76, 1301.52, 1288.38, 1291.32, 554800000, 1.02352264879668, 0.0950867529195029, 1.34230240424997, 0.832041400848014, 0, 4.78368478037123, 11.2379183211538, -6.4542335407826, 1295.93690909091, 1331.2218494624, 1308.35186324786, 1298.87656975772
9/22/2017, 1291.1, 1298.38, 1290.85, 1296.87, 575400000, 0.997216763054064, 0.296720453567528, 1.24762178983897, 0.899674363969477, 0, 3.09142012598727, 9.60861868212052, -6.51719855613325, 1293.827, 1328.42677419358, 1309.08747130647, 1299.33508735189
9/25/2017, 1297.07, 1311.44, 1290.84, 1310.34, 576300000, 1.01622287217579, 0.422848853632549, 1.35830732872899, 1.07151620090648, 0, 2.80487180558976, 8.24786930681437, -5.44299750122461, 1295.29236363637, 1326.76689247315, 1310.49266056166, 1300.06383344241
9/26/2017, 1310.395, 1313.28, 1293.55, 1293.86, 555700000, 1.05395298131984, 0.210140357340793, 0.894558662603772, 0.919648514927419, 0, 1.2337599100581, 6.84504742746311, -5.61128751740502, 1292.85390909091, 1322.16572043014, 1310.93783760684, 1300.43740500863
9/27/2017, 1293.725, 1296.09, 1281.455, 1282.5, 535400000, 1.0671806816296, -0.144249240097587, 0.711569555841921, 0.804298264879225, 0, -0.917438981427267, 5.29255014568504, -6.20998912711231, 1286.80109090909, 1316.74565591401, 1311.01385470086, 1300.56932268575
9/28/2017, 1282.49, 1288.51, 1277.59, 1287.095, 428500000, 1.05262335956589, 0.0367083565141178, 0.731251080692541, 0.787346190063807, 0, -2.22584336670616, 3.7888714432068, -6.01471480991296, 1285.88427272728, 1312.23794623659, 1311.21024297924, 1300.79159952419
