Date,EZA_Open,EZA_High,EZA_Low,EZA_Close,EZA_Volume,EZA_ATRPercentOfClose20,EZA_SQN25,EZA_SQN50,EZA_SQN100,EZA_SQN200,EZA_MACD,EZA_MACD_Avg,EZA_MACD_Diff,EZA_LinReg10,EZA_LinReg30,EZA_LinReg90,EZA_LinReg270
4/26/2017, 58.22, 58.68, 57.97, 58.24, 437939, 1.78537821566991, -0.277965933189949, 0.414355727721876, 0, 0, 0.446001282291739, 0.140262826366206, 0.305738455925533, 58.7941818181821, 56.429935483871, 58.0092500000001, 58.0092500000001
4/27/2017, 58.42, 58.42, 57.67, 57.87, 230548, 1.7717540334644, -0.436780318133649, 0.268380547164749, 0, 0, 0.428688691971807, 0.197947999487326, 0.230740692484481, 58.5883636363639, 56.5390322580646, 58.046388888889, 58.046388888889
4/28/2017, 58.73, 58.9, 58.17, 58.48, 373452, 1.75367365972564, -0.361772251304035, 0.212259118819755, 0, 0, 0.458900324148821, 0.250138464419625, 0.208761859729196, 58.6021818181821, 56.7786451612904, 58.1112466124662, 58.1112466124662
5/1/2017, 58.83, 58.88, 58.48, 58.52, 123859, 1.69902757757549, -0.349000646073969, 0.329846514397102, 0, 0, 0.480531656206047, 0.29621710277691, 0.184314553429137, 58.7609090909094, 57.0258924731183, 58.1750220393771, 58.1750220393771
5/2/2017, 58.82, 59.24, 58.69, 58.96, 499139, 1.66308919857076, 0.091722976836553, 0.450268411242874, 0, 0, 0.527102851906648, 0.342394252602857, 0.18470859930379, 58.8696363636366, 57.4083440860215, 58.256703958692, 58.256703958692
5/3/2017, 58.27, 58.73, 58.23, 58.28, 384385, 1.6609978069723, 0.0470821479828777, 0.317432274965677, 0, 0, 0.503338371593365, 0.374583076400959, 0.128755295192406, 58.587272727273, 57.6709462365592, 58.3029523809525, 58.3029523809525
5/4/2017, 57.42, 57.42, 56.48, 56.74, 506210, 1.77939380650032, -0.249684931114537, 0.0390412270432795, 0, 0, 0.356134424093298, 0.370893345939427, -0.0147589218461285, 57.9163636363639, 57.7721720430108, 58.2758495212039, 58.2758495212039
5/5/2017, 56.8, 57.95, 56.73, 57.88, 434648, 1.76252011665147, 0.225540217084619, 0.113208011187998, 0, 0, 0.327685354979643, 0.36225174774747, -0.0345663927678271, 57.6476363636367, 58.0590537634409, 58.3016840417002, 58.3016840417002
5/8/2017, 57.59, 57.59, 56.9, 57.09, 359077, 1.7833934337747, 0.487593740032603, 0.103570667482206, 0, 0, 0.238641949207064, 0.337529788039389, -0.0988878388323244, 57.3852727272731, 58.260559139785, 58.290538140021, 58.290538140021
5/9/2017, 57.34, 58.17, 57.33, 57.89, 386240, 1.76409111379319, 0.776375503222974, 0.316109275528762, 0, 0, 0.229976694550984, 0.316019169341708, -0.0860424747907235, 57.5141818181822, 58.4747311827957, 58.3153345250256, 58.3153345250256
5/10/2017, 58.45, 58.98, 58.41, 58.9, 472156, 1.7396786561734, 0.831640382145268, 0.641446641059942, 0, 0, 0.30113666090817, 0.313042667655, -0.01190600674683, 57.8758181818185, 58.7904086021506, 58.3835655430712, 58.3835655430712
5/11/2017, 58.81, 59.26, 58.66, 59.13, 299947, 1.69700184688284, 1.2649632868955, 0.501296933065999, 0, 0, 0.371804592830081, 0.324795052690017, 0.0470095401400644, 58.2069090909094, 59.1203440860215, 58.458993894994, 58.458993894994
5/12/2017, 59.27, 59.45, 59.03, 59.2, 171918, 1.6457184669911, 1.25803677657549, 0.646434001522984, 0, 0, 0.428518162366288, 0.345539674625271, 0.082978487741017, 58.6154545454549, 59.3817204301075, 58.4997899877901, 58.534347826087
5/15/2017, 59.95, 60.27, 59.82, 60.23, 309942, 1.62552227434135, 1.44224496067997, 0.633964309742511, 0, 0, 0.55023371499589, 0.386478482699395, 0.163755232296496, 59.3485454545458, 59.6377204301076, 58.5951868131869, 58.6506942496495
5/16/2017, 60.28, 60.83, 60.2, 60.81, 810435, 1.58131797820097, 1.68708605380223, 0.716045154697009, 0, 0, 0.685592239534799, 0.446301234066476, 0.239291005468323, 60.2767272727276, 59.9054623655914, 58.7061172161173, 58.7870258522078
