Date,IXJ_Open,IXJ_High,IXJ_Low,IXJ_Close,IXJ_Volume,IXJ_ATRPercentOfClose20,IXJ_SQN25,IXJ_SQN50,IXJ_SQN100,IXJ_SQN200,IXJ_MACD,IXJ_MACD_Avg,IXJ_MACD_Diff,IXJ_LinReg10,IXJ_LinReg30,IXJ_LinReg90,IXJ_LinReg270
12/22/2017, 112.72, 112.74, 112.24, 112.58, 63906, 0.695587389618991, 0.606579341522199, -0.208740316139745, 0.682190607078223, 0.8335262464124, 0.39661947339269, 0.406508878598779, -0.00988940520608927, 113.306909090917, 113.880903225807, 113.157115995115, 115.409561512341
12/26/2017, 112.44, 113.05, 112.44, 112.72, 23433, 0.687045483562285, 0.718385349892442, -0.14147114532703, 0.684978011582534, 0.838186896369887, 0.337621064250811, 0.392731315729186, -0.0551102514783742, 112.974000000008, 113.831548387098, 113.091555555555, 115.432545666537
12/27/2017, 112.69, 113.07, 112.69, 112.89, 19879, 0.668540867763165, 0.81840164374761, -0.0271293041105874, 0.763289383759767, 0.892017145178425, 0.30111095949006, 0.374407244481361, -0.0732962849913003, 112.807454545463, 113.785247311829, 113.02218070818, 115.457790200803
12/28/2017, 113.18, 113.2, 112.81, 113.03, 49199, 0.651579223513178, 0.591664301573119, -0.227433325513838, 0.773240482107647, 0.806752914067898, 0.280242803800149, 0.355574356345118, -0.0753315525449689, 112.777272727281, 113.72670967742, 112.961536019535, 115.484778007968
12/29/2017, 113.3, 113.42, 112.38, 112.52, 90080, 0.668019904479291, 0.295070180507007, -0.421874517051981, 0.767126662195034, 0.819155610399621, 0.220015698301751, 0.328462624736445, -0.108446926434694, 112.443090909099, 113.561204301076, 112.90111111111, 115.503181559476
1/2/2018, 112.88, 113.73, 112.88, 113.73, 30247, 0.681063216999994, 0.582708466511457, -0.239000974411484, 0.937698752971829, 0.953738895171325, 0.266846134754005, 0.316139326739957, -0.0492931919859523, 112.737636363644, 113.605935483872, 112.87512087912, 115.540293619424
1/3/2018, 113.9, 114.73, 113.57, 114.73, 32371, 0.691924114755852, 0.89775257671083, 0.0608633499306817, 1.37592489559416, 1.05129864396644, 0.380267745823375, 0.32896501055664, 0.0513027352667341, 113.46218181819, 113.74894623656, 112.892764346764, 115.592482960381
1/4/2018, 115.06, 115.21, 114.66, 114.88, 50328, 0.680407651476688, 0.779312338359099, 0.1456209262184, 1.33869427366278, 1.16279651871262, 0.47676310781992, 0.358524630009296, 0.118238477810624, 114.181818181826, 113.878903225807, 112.91807081807, 115.646176933765
1/5/2018, 115.52, 116.15, 115.24, 116.07, 16166, 0.694468591811493, 1.01086593943313, 0.653576109539709, 1.41760037846708, 1.24212290037733, 0.641860464280811, 0.415191796863599, 0.226668667417211, 115.139454545463, 114.186817204302, 112.999477411477, 115.71756740196
1/8/2018, 115.96, 115.96, 115.14, 115.6, 21030, 0.70265243061403, 0.667672579246777, 0.68482201278096, 1.31616147383377, 1.19843264484894, 0.726402718325318, 0.477433981155943, 0.248968737169375, 115.699272727281, 114.42294623656, 113.060732600732, 115.780558730545
