Date,FXE_Open,FXE_High,FXE_Low,FXE_Close,FXE_Volume,FXE_ATRPercentOfClose20,FXE_SQN25,FXE_SQN50,FXE_SQN100,FXE_SQN200,FXE_MACD,FXE_MACD_Avg,FXE_MACD_Diff,FXE_LinReg10,FXE_LinReg30,FXE_LinReg90,FXE_LinReg270
2/6/2018, 118.75, 119.39, 118.56, 119.11, 215047, 0.595758860535222, 1.26048545048141, 1.50046103490175, 0.882417053259136, 1.51803849880883, 1.13521671025951, 1.18673490081509, -0.0515181905555751, 119.604909090906, 120.364365591397, 117.768605616604, 118.370992209922
2/7/2018, 118.77, 118.85, 117.92, 118.06, 315730, 0.62140264259218, 0.636377207343108, 0.891906733820625, 0.617615402236686, 1.27508739827818, 0.968676833796323, 1.14312328741134, -0.174446453615012, 119.064727272724, 120.249956989246, 117.889650793649, 118.429034577012
2/8/2018, 118.32, 118.32, 117.79, 117.89, 225186, 0.613662364791, 0.756934094329305, 0.921235764927275, 0.507449020049917, 1.19469857198873, 0.813596567806115, 1.07721794349029, -0.263621375684176, 118.547999999997, 120.093999999999, 118.008315018314, 118.486867568675
2/9/2018, 117.89, 118.01, 117.51, 117.79, 119315, 0.604698390151545, 0.530438173009496, 1.07602177536781, 0.482215793323134, 1.2201780252907, 0.674845971172132, 0.99674354902666, -0.321897577854527, 118.10836363636, 119.920924731182, 118.101387057386, 118.543057263906
2/12/2018, 117.96, 118.38, 117.94, 118.29, 300602, 0.596973980954881, 0.81244153120232, 1.18451936382729, 0.489713761717355, 1.29906993684595, 0.598333726274589, 0.917061584476246, -0.318727858201656, 117.865636363633, 119.822645161289, 118.216559218558, 118.610166735
2/13/2018, 118.85, 119.08, 118.84, 118.92, 200041, 0.59733644127813, 1.30517476366207, 1.21610708374079, 0.833113776202157, 1.33650637118341, 0.581826027551173, 0.850014473091231, -0.268188445540058, 117.917272727269, 119.819526881719, 118.358820512819, 118.680344950116
2/14/2018, 118.57, 119.98, 118.54, 119.96, 515955, 0.622569915946611, 1.71413070738271, 1.48582506416477, 0.933778978088766, 1.41616633256332, 0.645225112282958, 0.809056600929577, -0.163831488646619, 118.397636363633, 119.96634408602, 118.529733821732, 118.766413830805
2/15/2018, 120.15, 120.38, 119.9, 120.33, 178870, 0.609567961116161, 1.76209654789169, 1.69523200181952, 0.98226941679899, 1.42055262965017, 0.717059436647943, 0.79065716807325, -0.0735977314253065, 119.163090909088, 120.103182795698, 118.718380952379, 118.859104277709
2/16/2018, 119.69, 119.9, 119.27, 119.4, 330741, 0.627988669372297, 1.15062684541638, 1.48984335170323, 0.991265431695523, 1.36243166739514, 0.690980238510548, 0.77072178216071, -0.0797415436501616, 119.520909090906, 120.130881720429, 118.86455189255, 118.9401500615
2/20/2018, 118.91, 118.94, 118.62, 118.73, 387491, 0.632803459672363, 0.48000429785657, 1.36590896088669, 0.970803815096382, 1.21200277110098, 0.609226106197667, 0.738422646968101, -0.129196540770434, 119.537999999997, 120.03217204301, 118.991069597068, 119.008977176438
