Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_ATRPercentOfClose20,SPY_SQN25,SPY_SQN50,SPY_SQN100,SPY_SQN200,SPY_MACD,SPY_MACD_Avg,SPY_MACD_Diff,SPY_LinReg10,SPY_LinReg30,SPY_LinReg90,SPY_LinReg270
12/20/2017, 268.27, 268.33, 266.69, 267.03, 76751500, 0.585313554036377, 1.70195093092213, 1.88476292869929, 1.92672218732888, 1.42219708427548, 2.26721220738597, 2.23578374540389, 0.0314284619820775, 267.648363636375, 268.090387096777, 266.455343101345, 261.551062220009
12/21/2017, 267.74, 268.39, 267.3, 267.58, 67032339, 0.580317902749149, 2.14640075341871, 1.90275535569768, 1.92289440615195, 1.43102725688005, 2.23471801894323, 2.23557060011176, -0.000852581168530264, 267.590545454557, 268.524430107529, 266.821282051284, 261.788900299529
12/22/2017, 267.6, 267.64, 266.9, 267.51, 78720873, 0.565277526809227, 1.81314069451336, 1.95793517261827, 1.90429491631412, 1.38893248808395, 2.17820869159988, 2.22409821840938, -0.0458895268095034, 267.605090909103, 268.832279569895, 267.178280830283, 262.021972378215
12/26/2017, 267.05, 267.44, 266.89, 267.19, 45244433, 0.549259035281633, 1.93965074099024, 1.85609319724694, 1.92421808800042, 1.36867269655968, 2.08358504548636, 2.19599558382478, -0.112410538338418, 267.560000000012, 269.033935483873, 267.420666666669, 262.246355421686
12/27/2017, 267.38, 267.73, 267.01, 267.32, 57750986, 0.535009335459579, 1.87137179385008, 1.82274787721099, 1.89247883527111, 1.42226485690771, 1.99607552165969, 2.15601157139176, -0.159936049732069, 267.60581818183, 269.209376344089, 267.642634920637, 262.469390200803
12/28/2017, 267.89, 267.92, 267.45, 267.87, 45116139, 0.518414756326958, 1.6969097646922, 1.87416398824079, 1.89701201113546, 1.35730809275301, 1.94864127340054, 2.11453751179352, -0.165896238392976, 267.806181818194, 269.35660215054, 267.874837606839, 262.697779760956
12/29/2017, 268.53, 268.55, 266.64, 266.86, 96007424, 0.530144542975482, 1.48703516650439, 1.65998865321478, 1.85982761156385, 1.33396220135314, 1.8087011498539, 2.05337023940559, -0.244669089551691, 267.378545454558, 269.224258064519, 268.101042735045, 262.906715044583
1/2/2018, 267.84, 268.81, 267.4, 268.77, 86655749, 0.536334613615788, 1.6685130323118, 1.87294682073887, 2.01030244874511, 1.48879640213848, 1.83081414536747, 2.00885902059797, -0.178044875230499, 267.715272727285, 269.4123655914, 268.375489621492, 263.142615283267
1/3/2018, 268.96, 270.64, 268.96, 270.47, 90070416, 0.540884835273559, 1.97041514399339, 1.90195175632426, 2.6506655001027, 1.56922948947335, 1.96288769860041, 1.99966475619846, -0.0367770575980455, 268.854000000012, 269.700021505379, 268.693843711846, 263.401701783324
1/4/2018, 271.2, 272.16, 270.54, 271.61, 80636408, 0.542794688437898, 1.83860340640048, 2.22760292738811, 2.71145120631023, 1.80998942384181, 2.13493520955382, 2.02671884686953, 0.108216362684288, 270.05672727274, 270.080301075272, 269.055296703299, 263.674797591477
